State,Full Name,Function,FT_Emp,FT_Dollar,PT_Emp,PT_Dollar,FTE_Emp,FTPT_Emp,Total Spending,Latitude,Longitude
AK,Alaska,Total - All Government Employment Functions,"46,655","286,466,015","12,218","17,720,677","50,802","58,873","304,186,692",61.334311,-152.687173
AL,Alabama,Total - All Government Employment Functions,"261,291","1,179,838,261","65,324","82,684,801","287,176","326,615","1,262,523,062",32.633309,-86.769922
AR,Arkansas,Total - All Government Employment Functions,"159,883","635,444,593","33,926","32,697,059","170,659","193,809","668,141,652",35.073206,-92.236676
AZ,Arizona,Total - All Government Employment Functions,"251,383","1,295,315,192","85,757","113,494,721","286,182","337,140","1,408,809,913",34.000364,-111.494723
CA,California,Total - All Government Employment Functions,"1,617,625","12,126,831,435","705,047","1,485,808,914","1,911,012","2,322,672","13,612,640,349",36.980962,-120.094652
CO,Colorado,Total - All Government Employment Functions,"266,891","1,513,212,656","110,883","166,434,340","317,885","377,774","1,679,646,996",39.199335,-105.626469
CT,Connecticut,Total - All Government Employment Functions,"159,268","976,565,512","53,798","84,221,832","180,877","213,066","1,060,787,344",41.559352,-72.708597
DE,Delaware,Total - All Government Employment Functions,"45,455","241,884,753","14,146","22,664,587","51,842","59,601","264,549,340",39.247359,-75.54972
FL,Florida,Total - All Government Employment Functions,"843,628","3,949,895,004","151,995","199,778,086","903,918","995,623","4,149,673,090",28.198511,-81.990872
GA,Georgia,Total - All Government Employment Functions,"486,310","2,185,450,861","111,244","129,849,840","526,809","597,554","2,315,300,701",32.694875,-83.457125
HI,Hawaii,Total - All Government Employment Functions,"67,826","380,924,182","20,255","25,323,370","73,729","88,081","406,247,552",20.988746,-157.2087
IA,Iowa,Total - All Government Employment Functions,"160,427","853,152,785","84,133","84,827,608","190,243","244,560","937,980,393",41.947502,-93.431623
ID,Idaho,Total - All Government Employment Functions,"77,203","357,316,164","30,642","29,088,104","86,541","107,845","386,404,268",44.581385,-114.942658
IL,Illinois,Total - All Government Employment Functions,"543,955","3,223,145,246","213,352","287,277,373","621,593","757,307","3,510,422,619",40.267874,-88.955669
IN,Indiana,Total - All Government Employment Functions,"285,359","1,291,839,242","114,805","132,574,834","329,645","400,164","1,424,414,076",40.163399,-86.191051
KS,Kansas,Total - All Government Employment Functions,"184,090","811,050,385","65,908","67,226,210","204,825","249,998","878,276,595",38.421462,-98.085602
KY,Kentucky,Total - All Government Employment Functions,"221,441","926,122,061","52,236","56,571,644","243,123","273,677","982,693,705",37.519445,-85.492681
LA,Louisiana,Total - All Government Employment Functions,"245,083","1,000,088,820","53,590","53,925,304","265,983","298,673","1,054,014,124",31.18917,-92.050542
MA,Massachusetts,Total - All Government Employment Functions,"314,658","1,953,794,659","83,487","121,643,759","342,609","398,145","2,075,438,418",42.179898,-71.555752
MD,Maryland,Total - All Government Employment Functions,"273,099","1,715,729,162","89,332","154,074,944","319,684","362,431","1,869,804,106",38.976022,-76.814255
ME,Maine,Total - All Government Employment Functions,"62,688","277,761,554","25,284","25,701,487","71,112","87,972","303,463,041",44.845315,-69.252837
MI,Michigan,Total - All Government Employment Functions,"361,659","1,988,954,344","185,393","293,923,224","437,651","547,052","2,282,877,568",43.67083,-84.88542
MN,Minnesota,Total - All Government Employment Functions,"260,288","1,504,097,267","121,468","167,160,639","304,821","381,756","1,671,257,906",45.68594,-94.22007
MO,Missouri,Total - All Government Employment Functions,"289,408","1,210,873,953","80,808","84,001,360","317,041","370,216","1,294,875,313",38.277351,-92.328517
MS,Mississippi,Total - All Government Employment Functions,"169,643","653,591,517","32,808","39,436,107","182,879","202,451","693,027,624",32.874658,-89.545419
MT,Montana,Total - All Government Employment Functions,"50,962","227,529,993","22,135","26,183,332","59,094","73,097","253,713,325",47.074936,-110.156122
NC,North Carolina,Total - All Government Employment Functions,"509,776","2,378,532,716","150,891","177,879,888","561,858","660,667","2,556,412,604",35.49967,-79.10223
ND,North Dakota,Total - All Government Employment Functions,"40,706","200,672,056","24,490","25,188,669","47,601","65,196","225,860,725",47.533184,-99.877287
NE,Nebraska,Total - All Government Employment Functions,"112,155","562,860,231","42,136","42,347,279","128,592","154,291","605,207,510",41.279238,-98.790161
NH,New Hampshire,Total - All Government Employment Functions,"58,585","294,725,593","28,241","35,473,487","69,960","86,826","330,199,080",43.404604,-71.659689
NJ,New Jersey,Total - All Government Employment Functions,"431,046","2,801,817,371","129,418","185,187,555","481,412","560,464","2,987,004,926",40.21945,-74.634398
NM,New Mexico,Total - All Government Employment Functions,"114,371","514,106,776","27,065","34,680,914","124,082","141,436","548,787,690",34.437568,-105.964139
NV,Nevada,Total - All Government Employment Functions,"103,397","603,543,615","32,333","45,992,886","118,227","135,730","649,536,501",38.625871,-116.721588
NY,New York,Total - All Government Employment Functions,"1,139,944","7,542,077,210","237,636","382,872,182","1,236,162","1,377,580","7,924,949,392",42.482777,-75.354845
OH,Ohio,Total - All Government Employment Functions,"505,877","2,594,741,909","194,712","246,378,733","581,737","700,589","2,841,120,642",40.39668,-82.886246
OK,Oklahoma,Total - All Government Employment Functions,"194,778","851,598,750","46,819","45,179,005","209,661","241,597","896,777,755",35.529944,-97.300233
OR,Oregon,Total - All Government Employment Functions,"182,856","1,063,383,191","82,097","139,733,025","211,884","264,953","1,203,116,216",44.340365,-121.886393
PA,Pennsylvania,Total - All Government Employment Functions,"507,232","2,804,917,854","140,399","214,625,316","561,052","647,631","3,019,543,170",40.696152,-77.753971
RI,Rhode Island,Total - All Government Employment Functions,"44,921","277,588,520","13,012","15,731,463","48,764","57,933","293,319,983",41.548682,-71.499087
SC,South Carolina,Total - All Government Employment Functions,"261,987","1,146,771,564","53,040","71,277,573","283,502","315,027","1,218,049,137",33.914399,-80.744327
SD,South Dakota,Total - All Government Employment Functions,"41,685","182,388,917","22,256","18,286,914","47,269","63,941","200,675,831",44.298703,-99.723536
TN,Tennessee,Total - All Government Employment Functions,"309,046","1,357,303,073","69,796","81,033,422","336,890","378,842","1,438,336,495",35.815482,-86.442724
TX,Texas,Total - All Government Employment Functions,"1,451,868","6,926,592,892","271,182","313,635,771","1,552,925","1,723,050","7,240,228,663",31.484807,-98.133695
UT,Utah,Total - All Government Employment Functions,"134,941","711,991,382","84,769","91,736,119","163,474","219,710","803,727,501",39.254065,-111.573591
VA,Virginia,Total - All Government Employment Functions,"409,413","2,046,069,349","127,066","162,123,470","454,401","536,479","2,208,192,819",37.51845,-78.434967
VT,Vermont,Total - All Government Employment Functions,"33,033","177,034,082","13,522","19,199,918","37,371","46,555","196,234,000",44.07502,-72.756603
WA,Washington,Total - All Government Employment Functions,"332,088","2,323,339,844","138,613","338,028,741","396,285","470,701","2,661,368,585",47.468242,-120.970481
WI,Wisconsin,Total - All Government Employment Functions,"238,822","1,252,869,904","122,674","171,133,493","281,768","361,496","1,424,003,397",44.343157,-89.707658
WV,West Virginia,Total - All Government Employment Functions,"91,625","369,010,382","24,063","28,424,488","100,094","115,688","397,434,870",38.676902,-80.83515
WY,Wyoming,Total - All Government Employment Functions,"44,892","223,902,858","16,053","19,319,452","51,211","60,945","243,222,310",42.860226,-107.659
